Cycle,A1,B1,C1,D1,E1
1,1.43E-04,0.011163875,-0.017394196,0.003055621,0.001439337
2,0.001927549,0.004287375,-0.011608781,-0.001162611,0.007035992
3,-8.74E-04,0.007976855,-0.005953305,0.004429128,0.002643125
4,-7.75E-05,4.36E-04,-0.002102136,0.003560289,0.003355775
5,-8.44E-04,-2.78E-04,-0.001523903,-0.004326713,0.008146829
6,0.001397381,0.001580854,0.004450413,0.002594492,0.003988886
7,0.002656041,-0.004817782,0.003147137,9.07E-04,0.008869153
8,0.002896051,-0.0054309,0.004927447,0.002933173,4.34E-04
9,0.001234084,5.70E-04,0.00715351,6.36E-04,-0.005986301
10,0.001001399,-0.002156828,0.003690221,0.00313521,-0.004091907
11,-0.001471356,-0.003366402,0.001547636,-6.46E-04,-0.008737058
12,-0.001098152,-0.002381497,5.37E-04,-0.005607533,-0.006013623
13,2.99E-04,8.98E-04,0.001399789,-2.55E-04,-0.003117401
14,-0.0031613,0.003444197,0.005183054,-0.002731617,-1.52E-04
15,-0.002249307,-0.001588821,6.50E-04,-0.005496793,-0.003020359
16,-0.002367306,-8.07E-04,-4.04E-04,-0.001390595,-0.009622629
17,-1.42E-04,5.66E-04,-4.25E-04,-0.001657829,-0.005604014
18,-0.002185831,-0.005029863,-0.001159755,-4.16E-05,-0.006193286
19,-0.003304897,-0.002086588,0.001055952,-0.002628186,-0.002015728
20,-0.001613433,-0.001945923,0.00122035,-0.002509346,-0.003535025
21,0.001017744,-9.65E-04,-9.29E-04,-0.003367038,-3.55E-04
22,-0.002562688,6.08E-04,-0.004435726,-2.76E-04,4.05E-04
23,-0.001251367,-1.88E-04,-0.007487192,0.001300907,-0.00139153
24,3.63E-04,0.002452832,0.003570298,0.004477987,6.01E-04
25,0.005422379,0.008221606,-0.002503765,0.008122516,-0.001052397
26,0.004989564,0.02357068,0.010670584,0.022277758,0.002168693
27,0.026287105,0.039671276,0.026379084,0.036390293,0.00958095
28,0.04614155,0.07946117,0.054886,0.06650265,0.013659013
29,0.0939186,0.13381277,0.09440882,0.11768584,0.03976299
30,0.15418057,0.1922919,0.14990605,0.17039922,0.07489361
31,0.22255576,0.25261274,0.1932989,0.22588725,0.12354048
32,0.28950074,0.3090417,0.23540592,0.27156347,0.18692465
33,0.3521141,0.36735618,0.27936396,0.32762703,0.24631444
34,0.4207552,0.42614102,0.33483756,0.38298488,0.28668395
35,0.48519453,0.48597556,0.3855025,0.4428111,0.3425362
