Temperature,A1,B1,C1,D1,E1,H1
65,7447.551837,6822.346029,8564.251772,7347.020095,5627.639355,6125.834502
65.5,7417.658283,6859.625237,8557.171857,7265.885241,5598.855253,6066.792958
66,7387.764728,6896.904444,8550.091941,7184.750387,5570.071151,6007.751415
66.5,7357.871174,6934.183651,8543.012025,7103.615534,5541.287049,5948.709871
67,7327.97762,6971.462858,8535.932109,7022.48068,5512.502947,5889.668327
67.5,7298.084066,7008.742065,8528.852193,6941.345827,5483.718845,5830.626783
68,7268.190512,7046.021272,8521.772277,6860.210973,5454.934743,5771.58524
68.5,7221.534309,7071.975276,8498.581724,6769.359616,5418.20262,5707.06144
69,7161.100509,7082.750223,8457.632521,6673.392574,5376.71827,5638.863488
69.5,7088.909786,7074.962755,8399.28122,6574.491263,5331.655057,5568.489627
70,7009.035493,7047.752639,8324.822364,6475.184481,5283.375453,5497.529943
70.5,6924.621317,7002.089222,8236.934518,6376.877272,5231.401713,5425.945669
71,6837.264881,6938.375858,8137.921602,6279.290884,5176.10299,5354.044969
71.5,6746.337435,6855.326802,8030.400506,6182.893345,5118.052001,5283.410986
72,6652.709848,6748.786902,7916.822726,6088.312343,5058.722043,5213.035327
72.5,6555.998557,6606.541811,7797.910494,5995.725563,4998.062721,5142.305435
73,6456.3508,6418.627989,7675.052508,5904.939545,4937.308084,5071.416366
73.5,6354.114729,6188.910367,7548.263377,5815.846549,4876.139073,5000.291948
74,6250.826759,5927.278077,7415.882013,5728.699864,4815.53042,4928.986266
74.5,6147.337656,5651.364801,7277.130005,5643.160347,4755.118339,4858.873096
75,6044.39237,5392.759523,7133.016487,5558.92354,4695.968502,4790.699509
75.5,5942.211244,5179.276131,6983.086434,5476.302672,4638.209675,4725.07268
76,5840.374825,5013.11918,6826.549498,5395.441715,4581.392277,4662.479816
76.5,5738.304351,4890.299682,6665.133185,5314.831394,4524.821918,4602.124936
77,5636.48506,4800.744208,6501.586013,5234.259894,4468.618889,4543.807182
77.5,5535.609784,4727.403174,6337.972928,5154.130951,4412.668606,4487.645764
78,5436.477595,4655.698651,6177.175247,5074.096067,4356.979901,4432.801603
78.5,5340.22863,4583.683805,6024.506591,4994.206225,4302.386661,4379.145357
79,5247.687178,4511.603998,5883.120364,4916.235009,4248.853031,4327.016572
79.5,5157.306105,4441.023722,5739.427805,4839.498107,4193.54911,4276.615951
80,5066.002627,4372.914931,5561.048875,4756.934832,4128.037226,4226.977852
80.5,4966.310007,4300.376451,5322.699544,4648.058518,4043.776074,4177.87785
81,4847.373366,4201.727705,5025.396429,4504.47917,3941.388755,4127.276099
81.5,4710.102194,4075.276788,4673.496911,4327.013555,3821.650397,4075.312819
82,4558.055724,3922.458423,4294.306297,4119.647428,3690.860854,4022.058402
82.5,4397.700746,3746.407142,3951.882319,3897.372803,3566.704407,3968.599792
83,4244.29536,3562.003462,3696.029232,3703.459765,3467.27563,3916.269826
83.5,4120.161605,3413.001795,3522.969694,3556.421488,3392.94913,3868.939444
84,4024.643366,3303.912313,3426.10555,3454.657038,3344.445338,3826.470327
84.5,3954.893406,3232.52399,3390.22011,3394.932444,3318.750769,3788.623139
85,3907.121934,3195.52837,3381.539578,3369.091936,3306.117413,3754.921436
85.5,3872.767132,3184.376502,3373.439702,3354.528709,3297.14668,3724.707618
86,3840.124263,3176.681806,3365.546729,3340.507414,3290.043716,3696.004254
86.5,3808.192584,3168.830835,3357.888973,3327.058992,3283.598995,3668.472296
87,3777.481706,3161.146712,3350.155233,3314.718818,3277.510127,3641.853082
87.5,3747.712548,3153.576856,3342.756369,3303.170462,3271.946437,3615.904886
88,3719.171866,3146.488539,3335.401734,3292.036035,3265.732769,3589.925003
88.5,3690.947859,3139.497609,3327.97251,3281.866112,3259.827032,3564.450326
89,3663.553387,3132.874623,3320.728202,3272.356377,3253.935502,3539.310656
89.5,3636.653072,3126.014752,3313.602091,3263.275969,3247.594161,3514.581593
90,3610.03884,3118.998938,3306.212145,3254.687826,3240.872733,3490.12013
90.5,3583.484719,3111.454562,3298.931947,3246.723313,3234.532721,3466.969785
91,3557.797773,3103.667938,3291.572323,3238.842855,3228.18098,3444.353369
91.5,3532.748769,3095.449925,3284.023881,3231.465043,3221.921952,3422.806668
92,3508.015132,3087.282252,3276.135328,3223.99566,3215.754134,3402.267026
92.5,3484.091107,3079.341883,3268.518112,3216.480903,3209.660121,3382.602594
93,3461.284934,3071.856274,3260.980318,3208.870723,3203.617641,3363.233129
93.5,3439.038205,3064.94733,3253.675106,3201.870666,3197.58621,3344.286286
94,3418.136581,3057.885467,3246.770216,3194.808355,3191.585715,3325.276237
94.5,3397.724372,3051.287694,3240.194983,3187.943716,3185.744009,3306.226623
95,3379.658229,3043.380316,3234.216158,3181.560017,3179.997269,3287.043095
