Temperature,A1,A2,A3,A4,A8
65,14541.2433,13541.37785,14551.04168,10917.61467,10744.51431
65.5,14411.60631,13483.13272,14364.89223,10809.08325,10621.91997
66,14281.96933,13424.88759,14178.74277,10700.55184,10499.32562
66.5,14152.33235,13366.64247,13992.59332,10592.02042,10376.73127
67,14022.69536,13308.39734,13806.44386,10483.489,10254.13692
67.5,13893.05838,13250.15221,13620.2944,10374.95758,10131.54257
68,13763.4214,13191.90708,13434.14495,10266.42617,10008.94822
68.5,13619.80284,13116.45519,13235.42427,10149.80604,9879.485985
69,13462.31562,13022.71101,13026.50222,10025.43908,9747.054867
69.5,13292.23488,12907.94845,12810.2421,9897.267992,9609.089426
70,13111.28667,12774.1386,12591.54803,9765.31552,9471.400174
70.5,12922.3223,12622.89344,12368.46179,9633.713709,9330.787383
71,12726.29551,12458.70352,12143.24524,9500.649159,9188.809681
71.5,12526.14841,12283.92821,11917.47296,9368.181483,9044.659257
72,12322.89995,12103.51907,11690.99492,9236.555544,8902.782843
72.5,12117.85859,11918.31512,11464.29904,9105.619728,8759.370651
73,11911.5702,11729.81308,11240.66884,8974.808155,8620.242419
73.5,11705.07631,11538.35719,11018.77535,8845.757102,8482.978085
74,11497.23069,11345.17955,10798.73721,8717.94031,8348.989795
74.5,11288.89092,11149.39919,10581.78602,8590.233162,8215.301276
75,11080.58568,10952.19226,10368.21436,8465.054004,8084.755781
75.5,10871.78531,10754.42755,10157.18041,8341.991241,7953.14154
76,10662.32442,10555.87707,9948.276668,8219.82934,7821.589651
76.5,10453.46241,10357.02631,9741.692233,8099.444696,7687.884665
77,10244.67154,10158.16553,9537.586964,7980.741112,7554.501758
77.5,10035.28211,9958.551238,9334.797547,7861.695609,7421.529598
78,9825.412098,9757.688648,9132.181557,7742.669902,7288.893722
78.5,9615.035875,9556.01848,8931.20132,7623.964777,7157.643442
79,9403.594983,9353.027306,8730.440517,7505.375674,7028.325627
79.5,9190.833544,9148.235441,8528.216084,7386.020212,6899.80472
80,8976.176085,8941.558651,8323.042299,7265.853268,6768.678275
80.5,8759.173231,8732.929791,8117.26067,7145.29855,6636.548724
81,8539.388832,8521.731407,7908.73767,7024.246255,6502.702796
81.5,8315.888607,8307.681075,7695.868028,6901.544379,6366.446859
82,8088.12738,8090.234106,7475.602872,6777.091778,6226.979077
82.5,7854.751261,7869.439697,7237.224079,6646.825016,6085.80194
83,7608.327853,7642.498481,6952.48008,6498.670747,5940.001296
83.5,7330.105776,7401.184934,6602.997255,6311.594622,5784.950156
84,6982.392717,7125.24911,6200.763758,6088.508013,5608.960354
84.5,6562.355128,6772.989495,5761.670135,5837.004132,5383.274723
85,6082.482312,6340.978494,5318.118737,5569.828058,5099.525693
85.5,5566.735202,5843.091859,4930.880595,5314.220423,4767.450023
86,5062.044039,5304.914885,4647.832232,5117.073804,4402.200433
86.5,4655.004716,4776.358791,4459.342456,4978.994975,4033.999083
87,4362.573871,4352.744643,4353.721042,4893.631171,3727.736886
87.5,4175.561027,4051.478709,4311.558225,4852.811315,3506.743912
88,4079.128998,3862.151791,4299.040538,4840.527878,3363.51509
88.5,4045.976854,3768.900111,4287.86947,4831.726863,3287.552292
89,4028.406901,3742.521924,4277.452173,4823.429549,3261.263571
89.5,4013.528437,3730.702787,4267.864134,4815.231715,3248.690535
90,4000.609223,3719.88509,4258.007046,4807.363434,3235.258194
90.5,3988.353942,3709.992021,4248.062162,4800.130443,3221.557064
91,3976.851264,3700.129212,4237.875462,4792.509628,3208.097788
91.5,3966.055788,3690.668479,4228.397313,4785.045156,3195.011111
92,3955.77939,3681.732147,4219.197345,4778.29135,3183.504253
92.5,3945.350118,3673.604947,4210.529916,4771.653835,3173.32239
93,3935.104084,3665.776591,4201.784796,4764.88976,3164.33085
93.5,3924.526998,3658.446908,4193.085771,4758.74059,3155.925618
94,3913.50927,3650.965264,4183.840954,4752.35367,3147.920524
94.5,3902.248343,3643.489403,4174.277309,4745.842865,3139.823445
95,3890.530025,3635.28478,4164.145968,4738.848506,3131.477757
